㐀	丘
垫	墊
垭	埡
垯	墶
垱	壋
垲	塏
垴	堖
垵	埯
垷	𰉚
垻	壩
埇	甬
埉	𰉥
埘	塒
埙	塤
埚	堝
埜	野
域	㽣 譽
埡	垭
埨	𫭢
埬	𪣆
埯	垵
埰	采
埳	坎
埶	蓺 秇 藝
執	执
基	抍 拯
埽	掃
堃	坤
堅	坚
堆	𠂤
堇	菫
堈	𰉙 罁 缸
堊	垩
堑	塹
堕	墮
堖	垴
堘	塍
堙	垔 陻
堚	𪣒
堝	埚
堤	隄
堦	階
堭	隍
堯	尧
報	报
場	塲 场
堿	鹻 鹼
塆	壪
塊	块
塋	茔
塍	堘
塏	垲
塐	塑
塑	塐
塒	埘
塔	㙮 墖
塗	涂
塚	中
塟	葬
塡	填 窴
塢	隖 坞 隝 鄔
塤	壎 埙
塩	鹽
填	塡
塲	場
塵	尘
塸	𫭟
塹	堑 壍
塼	𫭞
塾	孰
塿	𪣻
墆	𰊂
墈	磡
墊	垫
墋	𫮅
墏	𰊈
墖	塔
墙	牆
墜	坠
墝	𫭪 磽
墠	𫮃
墢	𫭨
墤	隤
墧	𰉩
墫	樽 壿 罇
墮	堕
墰	壜 罈 傁
墳	坆 坟
墶	垯
墷	𰉪
墻	廧 牆
墾	垦
墿	𰉣
壇	坛
壈	𡒄
壋	垱
壍	塹 𰊢
壎	塤
壏	𰊑
壐	璽 𡊑
壒	𭏦
壓	压
壔	𭎜
壗	𡋤
壘	垒
壙	圹
壚	垆
壛	𰊡
壜	罈 墰
壝	𭏸
壞	坏
壟	垄
壠	垅
壢	坜
壣	𪤚
壧	𫭲
壩	坝 垻
壪	塆
壬	𡈼
壮	壯
壯	𡉟 壮
声	聲
壳	殻 㱿 殼
壶	壺
壸	壼
壹	一 弌
壺	壶
壻	婿
壼	壸
壽	夀 寿
壿	墫
夀	壽 寿
处	處
夅	降
备	備
変	變
复	覆 複 復
外	舀
够	彀 夠
夠	彀 够
夢	夣 梦
夣	夢
天	靝
夯	䂫
头	頭
夸	誇
夹	夾
夺	奪
夾	夹
奁	奩
奂	奐
奇	竒
奈	柰
奋	奮
奎	奞 㚝
奐	奂
奔	犇
奕	弈
奖	獎
奞	㚝 奎
奥	奧
奧	奥
奨	獎 奬
奩	奁 匳
奪	夺
奫	𫯶
奬	奨 獎
奮	奋
奯	𫯥
奲	𫰂
奶	嬭 妳
奸	姦
她	他
奼	姹
妆	妝
妇	婦
妈	媽
妊	姙
妒	妬
妙	玅
妝	妆 粧
妤	伃
妩	嫵
妪	嫗
妫	媯
妬	妒
妳	奶 您 嬭 你 祢 袮
妹	妺
妺	妹
姆	佬 姥
姉	姊
姊	姉
姍	姗
姗	姍
姙	妊
姣	㚣
姥	姆
姦	奸
姹	奼
姻	婣
娄	婁
娅	婭
娆	嬈
娇	嬌
娈	孌
娘	孃
娙	𫰛
娛	娯 娱
娠	㛛 煖
娩	㝃
娬	嫵
娯	娛 娱
娱	娯 娛
娲	媧
娴	嫻
婁	娄
婡	𫝫
婣	姻
婦	媍 妇
婬	淫
婭	娅
婳	嫿
婴	嬰
婵	嬋
婶	嬸
婸	𰋸
婿	壻
媁	𫰍
媆	嫩 嫰
媈	𫝨
媍	婦
媜	𰌂
媧	娲
媪	媼
媭	嬃
媯	嬀 妫
媰	㛀
媼	媪
媽	妈
媿	愧
嫈	𰌀
嫉	𡜱
嫒	嬡
嫔	嬪
嫕	嫛
嫗	妪
嫛	嫕
嫢	𫰹
嫥	𰋹
嫧	𰌇
嫩	媆 𡞾 嫰
嫫	嬷
嫰	嫩 媆
嫱	嬙
嫵	妩 娬
嫺	嫻
嫻	娴 嫺
嫿	婳
嬀	媯
嬃	媭
嬅	𫰡
嬇	𫝬
嬈	娆
嬋	婵
嬌	娇 撟
嬐	𫰰
嬒	𫰢
嬙	嫱
嬡	嫒
嬣	𪥰
嬤	嬷
嬦	𫝩
嬪	嫔
嬭	奶 妳
嬮	𰋽
嬰	孾 婴
嬲	惱
嬷	嬤 嫫
嬸	婶
嬻	𪥿
嬾	𰌙
孀	霜
孃	娘
孄	𫝮
孆	𫝭
孇	𪥫
孋	㛤
孌	娈
孎	𡠟
子	只
孙	孫
孛	柏 栢
学	學
孪	孿
孫	孙
孭	𧴯
孰	塾
孲	𰌦
學	斈 学
孻	𡥧
孼	孽
孽	孼
孾	嬰 𪧀
孿	孪
宁	寧
宂	冗
它	牠 佗
完	煙 烟
宐	宜
宜	宐
宝	寳 寶
实	實
宠	寵
审	審
宪	憲
宫	宮
宮	宫
宴	讌
宻	密
宼	寇
宽	寬
宾	賓
宿	㝛
寃	冤
密	宻
寇	宼
寍	寧
寔	實
寕	寜
寗	甯
寘	置
寚	寳 宝
寜	寕
寝	寢
察	詧
寠	𪧘 窶
寡	關
寢	寝
實	实 寔
寧	寍 𡨴 宁
寨	砦
審	审
寪	𰌷
寫	冩 写
寬	宽
寯	㝦
寳	宝 寶
寵	𠖥 宠
寶	寳 宝
寷	𫲸
寸	吋
对	對
寻	尋
导	導
寿	夀 壽
尀	叵
尃	敷 旉
尅	剋
将	𤕭 將
將	畺 𤕭 将
專	专 耑
尉	熨
尋	寻
對	对
導	导
尒	爾 尔
尔	尒 爾
尗	叔
尘	塵
尝	嘗
尢	尣
尣	尢
尧	堯
尨	狵
尩	㑌
尰	腫
尲	尷
尴	尷
尵	𪨇
尷	尴 尲
尸	屍
尻	䯌
尽	儘 盡
尿	溺
层	層
屃	屓
居	㞐
屆	届
屉	屜
届	屆
屍	尸
屓	屃
屜	屉 𡲕
属	屬 𡱆
屡	屢
屢	屡
屣	躧 蹝
層	层
屦	屨
屨	屦
屩	𪨗
屬	𡱆 属
屿	嶼
岀	出
岁	𡻕 歲 亗
岂	豈
岖	嶇
岗	崗
岘	峴
岙	嶴
岚	嵐
岛	島
岡	冈 崗
岨	砠
岩	巖
岭	嶺
岽	崬
岿	巋
峄	嶧
峒	洞
峡	峽
峣	嶢
峤	嶠
峥	崢
峦	巒
峨	峩
峩	峨
峭	陗
峯	峰
峰	峯
峴	岘
島	岛
峽	峡
崂	嶗
崃	崍
崄	嶮
崋	華
崍	崃
崒	崪
崔	磪
崖	厓
崗	岡 岗
崘	崙
崙	𪨧 崘 侖
崠	𰎏
崢	峥
崧	嵩
崪	崒
崬	岽
崭	嶄
崱	𰎖
崵	𫵵
嵐	岚
嵗	歲
嵘	嶸
嵚	嶔
嵝	嶁
嵠	谿
嵩	崧
嵷	𰎌
嵸	𡵝
嵼	𡶴
嵽	𫶇
嵾	㟥
嶁	嵝
嶃	磛
嶄	巉 崭
嶇	岖 㠊
嶈	𡺃
嶎	蔚
嶔	嵚
嶗	崂
嶝	磴
嶠	峤
嶢	峣
嶤	𰎔
嶧	峄
嶩	𰎞
嶪	𰎑
嶮	崄
嶴	岙
嶸	嵘
嶹	𫝵
嶺	岭
嶼	屿
嶽	𰎫
巃	𰎎
巅	巔
巆	𫶕
巉	嶄
巊	𪩎
巋	岿
巍	魏
巑	𰏁
巒	峦
巔	巅
巖	𰎠 岩
巗	𪨷
巘	𪩘
巚	𰎹
巛	川
川	巛
巠	𢀖
巡	廵
巤	剌 鬣
巩	鞏
巯	巰
巰	巯
帀	迊 匝
币	幣
帅	帥
帆	㠶 拚
师	師
帋	紙
帏	幃
帐	帳
帒	袋
帘	簾
帙	袠
帚	箒
帜	幟
帡	帲
帥	帅
带	帶
帧	幀
師	师
帬	裙
帮	幫 幇
帱	幬
帲	帡
帳	帐 賬
帴	𰏕
帶	带
帻	幘
帼	幗
幀	帧
幂	鼏 冪
幃	帏
幇	帮 幫
幐	㬺
幓	㡎
幕	幙
幗	帼
幘	帻
幙	幕
幞	襮
幟	帜 旘
幠	𭘓
幡	旛
幣	币
幩	𪩸
幫	帮 幇
幬	帱
幰	𫷉
幱	𰏟
干	幹 乾
幵	开
并	並 幷 併 竝
幷	並 并 竝
幸	倖 囟
幹	干
幺	么
幾	几
广	廣
庄	莊
庅	麽 麼
庆	慶
床	牀
庐	廬
庑	廡
库	庫
应	應
庙	廟
庞	龐
废	廢
座	坐
庫	库
庬	厖
庲	𫷬
庵	菴
庸	㐯 𠆌
庾	斞
廀	廋
廁	厠 厕
廂	厢
廄	厩
廈	厦
廋	廀
廌	豸
廐	厩
廑	厪
廔	𫷹
廕	𫷮 蔭
廗	𰏼
廚	厨
廝	㒋 厮
廞	𫷷
廟	庙
廠	厂 厰
廡	庑
廢	废
廣	广
廥	𰏶
廧	𪪞 墻 牆
廩	廪
廪	廩
廬	庐
廮	𫷾
廱	雝
廳	厅
廵	巡
廸	迪
廹	迫
廻	迴 回
廼	乃 迺
廿	卄
开	開 幵
异	異
弃	棄
弄	瘧
弈	奕
弊	𡚁
弋	𢍺
弌	一 壹
弍	貳 二
弑	弒
弒	弑
弔	吊
张	張
弢	韜
弥	彌
弦	絃
弪	弳
弯	彎
弳	弪
張	张
強	强 彊
弹	彈
强	彊 強
彀	夠 够
彄	𫸩
彈	弹
彊	强 強
彌	弥
彍	𭚦
彎	弯
彐	彑
彑	彐
归	歸
当	噹 當
录	錄
彙	汇
彝	彞
彞	彝
彟	彠
彠	彟
彥	彦
彦	彥
彨	彲
彫	雕 㓮 鵰
彬	斌
彲	彨
彷	徬 髣
彸	伀
彻	徹
往	徃
征	徵 征
徃	往
径	徑
後	后
徑	勁 俓 径
徒	𨑒
徕	徠
從	从
徠	勑 徕 倈
御	馭 禦
徤	健
徧	遍
復	复
徬	彷
徭	傜
徵	徵 征
德	悳 惪
徹	彻 澈
徿	𪫌
心	忄 㣺
忄	心
忆	憶
忍	㣼
忏	懺
志	志 誌 𢖽
忤	啎 迕
忧	憂
忭	昪
忻	欣
忼	慷
忾	愾
怀	懷
态	態
怂	慫
怃	憮
怄	慪
怅	悵
怆	愴
怌	懷
怜	憐
怪	恠
怱	匆 悤
怳	恍
总	總
怼	懟
怽	𢗿
怿	懌
恆	恒
恊	勰
恋	戀
恍	怳
恐	𢙢
恒	恆
恠	怪
恡	悋 吝
恤	卹
恥	耻
恩	摁
恳	懇
恶	惡
恸	慟
恹	懨
恺	愷
恻	惻
恼	惱
恽	惲
恿	慂
悁	懁
悅	悦
悊	哲
悋	恡 吝
悏	𫺂
悐	惕
悚	𢥠
悞	誤 悮
悠	滺
悤	匆 怱
悦	悅
您	袮 妳 你 祢
悫	愨
悬	懸
悭	慳
悮	悞
悯	憫
悳	德
悵	怅
悶	闷 懣 㥃
惀	𰑄
惇	敦
惊	驚
惕	悐
惛	惽
惝	𢠵
惡	恶
惧	懼
惨	慘
惩	懲
惪	德
惫	憊
惬	愜
惭	慚
惮	憚
惯	慣
惱	嬲 恼
惲	恽
惺	𢜫 醒
惻	恻
惽	惛
愇	𫹴
愈	瘉 愉
愉	愈
愍	憫
愛	爱
愜	惬
愠	慍
愤	憤
愦	憒
愧	媿
愨	悫
愩	𫺌
愬	訴
愴	怆
愷	恺
愻	遜
愽	博
愾	忾
愿	愿 願
慁	㥵
慂	恿
慄	栗
慈	㤵
態	态
慍	愠
慐	𰑟
慑	懾
慘	惨
慙	𰑧 慚
慚	惭 慙
慞	傽
慟	恸
慣	惯
慪	嘔 怄
慫	怂
慭	憖
慮	虑
慯	𫹽
慱	𰑁
慲	𰒆
慳	悭
慶	庆
慷	忼
慸	𰑵
慹	𰑔
慺	㥪
慼	慽
慽	慼
慾	欲
憂	懮 忧
憇	憩
憊	惫
憋	𢠳
憍	㤭
憐	怜
憑	𠗦 凭 凴
憒	愦
憔	顦
憖	慭
憙	喜
憚	惮
憝	譈 懟
憢	𢙒
憤	愤
憦	𫺘
憩	憇
憪	𰑥
憫	愍 悯
憮	怃
憯	㦧
憰	譎
憲	宪
憴	𰑪
憶	忆
憸	𪫺
憹	𢙐
懀	𢙓
懁	悁
懇	恳
應	应 硬
懌	怿
懍	懔
懑	懣
懒	懶
懓	𭞄
懔	凛 懍
懕	𰑕
懘	𰒒
懙	𫹮
懜	𢟼 懵
懟	譈 怼 憝
懠	𫺊
懣	悶 懑 㥃
懤	㤽
懥	懫
懧	㤖
懨	恹
懩	𫺪
懫	懥 𰑬
懭	𰐾
懮	憂
懰	𰑙
懲	惩
懵	懜
懶	懒
懷	怌 怀
懸	悬
懺	忏
懼	惧
懽	欢 歡
懾	慑
戀	恋
戁	𫺷
戃	𰑿
戆	戇
戇	戆
戉	鉞
戋	戔
戏	戲
戔	戋
戗	戧
战	戰
戧	戗 創
戩	戬
戬	戩
戯	戱 戲
戰	战 𢧐
戱	戲 戯
戲	戱 戯 戏
戶	户 戸
户	戶 戸
戸	戶 户
戹	厄
扁	艑
扅	扊
扊	扅
手	扌
扌	手
才	財 纔
扎	紮
扑	撲
托	拓
扞	捍
执	執
扩	擴
扪	捫
扫	掃
扬	揚
扯	撦
扰	擾
扳	攀
扵	亏 于 於
扼	㧖 搤
抌	舀
抍	基 拯
折	拃 翼
抚	撫
抛	拋
抝	拗
抟	摶
抠	摳
抡	掄
抢	搶
护	護
报	報
披	㓟
抬	擡
抹	抺
抺	抹
抽	𢭆
抿	㨉
拃	折
担	擔
拆	責
拇	𧿹
拈	敁
拋	抛
拏	拿 挐
拓	托
拕	拖
拖	拕
拗	抝
拚	帆
拟	擬
拢	攏
拣	揀
拥	擁
拦	攔
拧	擰
拨	撥
择	擇
拭	𢂑
拯	基 抍
拼	秉 摒
拽	曳
拾	十
拿	挐 拏
挂	掛
按	搵
挐	拿 拏
挙	𢸁
挚	摯
挛	攣
挜	掗
挝	撾
挞	撻
挟	挾
挠	撓
挡	擋
挢	撟
挣	掙
挤	擠
挥	揮
挦	撏
挩	捝
挫	繲
挭	鯁 骾
挱	挲
挲	挱
挷	搒
挼	捼
挽	輓 掇
挾	挟
挿	插 揷
捆	綑
捉	杓
捌	八
捍	扞
捏	揑
捓	揶
捝	挩
捞	撈
损	損
捡	撿
换	換
捣	搗
捦	擒
捨	舍
捫	扪
捬	撫
据	據
捵	䥀
捶	箠
捷	㨗
捼	挼
掁	𰓄
掂	敁
掃	扫 埽
掄	抡
掆	㧏
掇	挽
掉	棹
掏	搯
掐	𠜼
掗	挜
掙	挣
掚	𪭵
掛	挂
採	采
掩	揞 揜
掬	匊
掳	擄
掴	摑
掷	擲
掸	撣
掺	摻
掼	摜
掽	碰
揀	拣
揅	研
揑	捏
插	揷 挿
揚	扬
換	换
揜	掩
揝	撍 攢
揞	掩
揦	攋
揪	揫
揫	揪
揭	結
揮	挥
揶	捓
揷	插 挿
揸	楂 摣
揺	搖 摇
揽	攬
揾	搵
揿	撳
搀	攙
搁	擱
搂	摟
搃	摠 總
搅	攪
搇	撳
搉	㩁
搊	𫼝
損	损
搎	𰓧
搒	挷
搖	揺 摇
搗	捣 擣
搜	𢯱 𢲷
搞	攪
搤	㧖 扼
搪	傏
搫	搬
搬	搫
搭	撘
搯	掏
搵	揾 按
搶	抢
携	攜
摀	𰓆
摁	恩
摃	𫼱
摄	攝
摅	攄
摆	擺
摇	揺 搖
摈	擯
摊	攤
摋	𢫬
摐	𪭢
摑	掴
摒	拼
摔	甩
摕	𰔇
摙	𫽁
摜	掼
摟	搂
摠	總 搃
摡	溉
摣	揸
摪	𫽣
摫	𰓻
摭	拓
摮	𢳆
摯	挚
摲	𰓼
摳	抠
摴	舒
摶	抟
摻	掺
摼	𰓱
撂	㨼
撄	攖
撆	撇
撇	撆
撈	捞
撊	𪭾
撋	𰓷
撌	𰔋
撍	揝 攢
撏	挦
撐	撑
撑	撐
撓	挠
撘	搭
撝	㧑
撟	挢 嬌
撢	撣
撣	掸 撢
撥	拨
撦	扯
撧	𪮖
撫	捬 抚
撲	扑
撳	搇 揿
撵	攆
撶	𫼧
撷	擷
撸	擼
撺	攛
撻	挞
撾	挝
撿	捡
擁	拥
擃	攮 𫼮
擄	虜 掳
擇	择
擈	𭠙
擊	击
擋	挡 𫽮 攩
擒	捦
擓	㧟
擔	担
擗	劈
據	据
擜	㩵
擞	擻
擟	𪭧
擠	挤
擡	抬
擣	𢭏 搗
擥	㩜 攬 㧛
擧	舉 𢪓
擪	𰓙
擫	𢬍
擬	拟
擯	摈
擰	拧
擱	搁
擲	擿 掷
擳	𰓜
擴	扩
擷	撷
擸	㧜
擺	摆
擻	擞
擼	撸
擽	㧰
擾	扰
擿	擲
攀	扳 㐴
攄	摅
攅	攢
攆	撵
攋	𪮶 揦
攎	𢫘
攏	拢
攑	𫽥
攒	攢
攔	拦
攖	撄
攙	搀
攛	撺
攜	携
攝	摄
攞	𫽋
攢	揝 攒 撍 攅
攣	挛
攤	摊
攦	𰓬
攧	𭣇
攩	𫽮 擋
攪	搞 搅
攬	㩜 揽 擥
攮	擃
攳	𰕁
攴	攵
攵	攴
收	収 㧃
攷	考
敁	拈 掂
敃	暋
效	効
敉	侎
敌	敵
敍	叙 敘
敎	教
敏	勄
敓	敚
敕	勅 勑
敗	䢙 败
敘	敍 叙
教	敎
敚	敓
敛	斂
敠	敪
敦	惇
敩	斆
敪	敠
数	數
敵	敌
敷	旉 尃
數	数
敺	𰕅 驅
敿	𰕈
斁	𭣧 𤢕
斂	敛
斃	毙
斄	𭤎
斅	𢽾 斆
斆	敩 鏰 斅
文	㒚 穩
斈	學
斉	齊
斋	齊 齋
斌	彬
斍	覺
斓	斕
斕	斓
斗	鬥
斚	斝
斝	檟 斚
斞	庾 㔱
斤	觔
斥	㡿
斩	斬
斬	斩
断	斷
斲	斵 㓸
斵	斲
斷	断
斸	𣃁
於	亏 于 扵
斾	旆
旁	傍
旂	旗
旆	斾
旈	旒
旉	敷 尃
旒	旈
旗	旂
旘	幟
旛	幡
旝	𰕭
旟	𭤰
无	無
旧	舊
旪	協
时	旹 時
旷	曠
旸	暘
旹	时 時
昂	昻
明	朙
昏	昬
昒	㫚
昙	曇
昜	𠃓
昝	偺 喒
映	暎
昧	昩
昩	昧
昪	忭
昬	昏
昵	暱
昷	𥁕
昻	昂
昼	晝
昽	曨
显	顯
晁	朝
時	旹 时
晅	烜
晉	晋
晋	晉
晒	曬
晓	曉
晔	曄
晕	暈
晖	暉
晚	晩
晛	𬀪
晝	昼
晡	𣇀
晣	䀿
晩	晚
晰	晳
晳	晰
暂	暫
暅	𣈶
暈	晕
暉	晖
暋	敃
暎	映
暐	𬀩
暖	娠 煖
暘	旸
暟	𬀱
暠	𣉞 皜
暢	畅
暧	曖
暫	暂
暱	昵
暴	虣
曄	晔
曆	历 歴 厤 歷
曇	昙
曉	晓
曊	𪰶
曏	向
曖	暧 瞹
曜	燿 耀
曠	旷
曡	叠 疊
曥	𣆐
曨	昽
曬	晒
曭	𭧋
曮	𰖈
曲	曲 麯
曳	拽
更	㪅
曶	㫚
書	书
曼	㬅
朁	㬱
會	会
朊	䏓
朌	肦
朏	胐
朐	鸜 鴝 胊
朓	脁
朘	脧
朙	明
望	朢
朝	晁
朞	稘
期	逞
朢	望
朣	膧
朥	𦛨
朦	䑃 矇
朧	矓 胧
术	術
朳	杷
朴	樸
朵	朶
朶	朵
机	機
朿	莿
杀	殺
杂	雜
权	權
杆	桿
杇	圬
村	邨
杓	捉
杝	柂
杠	槓
条	條
来	來
杧	芒
杨	楊
杩	榪
杮	柿
杯	盃
杰	傑
東	东
杷	朳
杸	殳
松	鬆
板	闆 板 版
极	极 極
构	構
枏	楠
果	菓
枞	樅
枢	樞
枣	棗
枥	櫪
枧	梘
枨	棖
枪	槍
枫	楓
枬	楠
枭	梟
枱	檯 儓
架	榢
枺	㭑
枾	柹
柁	舵
柂	杝
柄	棅
柏	孛 栢
某	厶
柒	七
柚	櫾
柜	櫃
柠	檸
查	査
柰	奈
柳	檉
柵	栅
柹	枾
査	查
柽	檉
柿	杮
栀	梔
栅	柵
标	檁 標
栈	棧
栉	櫛
栊	櫳
栋	棟
栌	櫨
栎	櫟
栏	欄
树	樹
栒	簨
栖	棲
栗	慄
栛	荔
栢	柏 孛
栰	筏
样	樣
栾	欒
桌	棹
桠	椏
桡	橈
桢	楨
档	檔
桤	榿
桥	橋
桦	樺
桧	檜
桨	槳
桩	樁
桪	樳
桱	𣐕
桼	㯃 漆
桿	杆
梁	樑
梔	栀
梖	𪱷
梘	枧
梜	𬂩
條	条 糶
梟	枭 鴞
梦	夢
梨	棃
梲	棁 棳
梹	檳
梼	檮
梾	棶
梿	槤
检	檢
棁	梲
棂	欞
棃	梨
棄	弃
棅	柄
棆	𰗖
棊	棋 碁
棋	棊 碁
棐	榧
棑	篺
棕	㯶 椶
棖	枨
棗	枣
棟	栋
棡	㭎
棥	樊
棧	栈
棰	槌
棱	楞 稜
棲	栖
棳	梲
棶	梾
棹	桌 卓 櫂
椀	碗 盌
椁	槨
椎	槌
椏	桠
椚	𭩛
椝	槼
椟	櫝
椠	槧
椢	槶
椤	欏
椫	樿
椭	橢
椮	槮
椰	㭨
椲	㭏
椶	棕
椹	葚
楂	槎 揸
楇	𣒌
楊	杨
楎	𰗢
楓	枫
楞	棱 稜
楠	枬 枏
楥	楦
楦	楥
楨	桢
楫	檝 艥
業	业
極	极
楼	樓
概	槩
榄	欖
榅	榲
榇	櫬
榈	櫚
榉	櫸
榎	檟
榛	亲
榝	樧 𬂮
榢	架
榧	棐
榨	醡 酢
榪	杩
榮	荣
榯	𰗨
榲	榅
榴	橊
榿	桤
槀	稿
槊	鎙
構	构
槌	棰 椎
槍	枪
槎	楂
槓	杠 篢
槖	橐
槚	檟
槛	檻
槟	檳
槠	櫧
槤	梿
槧	椠
槨	椁
槩	㮣 概
槪	㮣
槫	𣏢
槮	椮
槳	桨
槶	椢
槹	𣓌
槻	𬃀
槼	椝
樁	桩
樂	乐
樅	枞
樊	棥
樐	櫓 㯭 艪
樑	梁
樓	楼
標	标
樚	轆
樞	枢
樠	𣗊
樢	㭤
樣	样
樧	榝
横	橫
樫	㭴
樯	檣
樱	櫻
樲	𬃘
樳	桪
樷	叢
樸	朴
樹	树
樺	桦
樻	𭫀 櫃 匱
樽	罇 墫
樿	椫
橃	𭩰
橅	𬂠
橆	無
橇	鞽
橈	桡
橊	榴
橋	桥
橐	槖
橓	蕣
橚	𰗹
橛	橜
橜	橛
機	机
橢	椭
橥	櫫
橨	𰗺
橫	横
橯	𣓿
橱	櫥
橹	櫓
橼	櫞
檁	标 檩
檂	𬂰
檉	柽 柳
檋	𰘈
檐	簷
檒	𮨴
檔	档 欓
檛	簻 𭪆
檜	桧
檝	楫 艥
檟	榎 斝 槚
檠	𢐧
檡	𰗛
檢	检
檣	艢 樯
檥	𭩚
檩	檁
檭	𣘴
檮	梼
檯	枱 儓 台
檰	𰘣
檲	𣑝
檳	梹 㯽 槟
檴	穫
檵	𪲛
檸	柠
檻	槛
檾	䔛 𰘓
檿	𰗜
櫂	棹 掉
櫃	柜 匱 饋 鐀 樻
櫅	𪲎
櫈	凳
櫌	耰
櫍	𬃊
櫎	𰗓
櫏	𰗬
櫓	橹 㯭 樐 艪
櫚	榈
櫛	栉
櫝	匵 椟
櫞	橼
櫟	栎
櫠	𪲮
櫢	𰘸
櫥	橱
櫧	槠
櫨	栌
櫩	𰘠
櫪	枥
櫫	橥
櫬	榇
櫯	𰘶
櫱	蘖
櫳	栊 㰍
櫴	𰘳
櫶	𬃫
櫸	榉
櫹	𰘩
櫺	欞
櫻	樱
櫽	𬄩
櫾	柚
欄	栏
欇	𪳍
權	权
欍	𣐤
欏	椤
欐	𪲔
欑	𪴙
欒	栾
欓	𣗋 檔
欖	榄
欘	𣚚
欝	鬱
欞	棂 櫺
欢	歡 懽
欣	忻
欤	歟
欧	歐
欬	咳
欲	慾
欵	款
欶	𠲿
欸	唉
欹	猗
欼	啜 歠
欽	钦
款	欵
歄	𬅥
歌	謌
歍	𰙋
歎	嘆
歐	欧
歕	呠 𬅫 噴
歗	嘯 𰙑
歛	𰙎
歞	𪴯
歟	欤
歠	啜 欼
歡	欢 懽
歱	踵
歲	岁 嵗 𡻕 歳 亗
歳	歲
歴	歷 曆
歷	历 歴 曆
歸	归
歹	歺 𣦵 𣦶
歺	歹
歼	殲
歿	殁
殁	歿
殃	䄃
殇	殤
殉	狥 侚
残	殘
殍	莩
殒	殞
殓	殮
殘	残
殚	殫
殞	殒
殡	殯
殢	𣨼
殤	殇
殨	㱮
殫	殚
殮	殓
殯	殡
殰	㱩 𦢌
殲	歼
殳	杸
殴	毆
殺	杀
殻	壳 殼
殼	殻 壳 㱿
殽	淆
毀	毁
毁	毀
毂	轂
毄	𬆦
毆	殴
毊	𪵑
毓	育
毕	畢
毗	毘
毘	毗
毙	斃
毡	氈
毧	㲓
毵	毿
毶	𣯶
毿	毵
氀	𰚦
氂	牦
氅	鷩
氇	氌
氈	毡 氊
氊	氈
氌	氇
氓	甿
气	氣
氜	陽 阳
氢	氫
氣	气 炁
氤	絪
氩	氬
氫	氢
氬	氩
氭	𣱝
氯	綠
氲	氳
氳	氲
水	氵
氵	水
氷	冰 冫
氼	溺
汇	彙 匯
汉	漢
汎	泛
汙	洿 汚 污
汚	洿 汙
污	汙
汤	湯
汨	汩
汩	汨
汫	阱
汹	洶
決	决
沈	瀋 沉
沉	沈
沍	冱
沒	没
沖	冲
沟	溝
没	沒
沣	灃
沤	漚
沥	瀝
沦	淪
沧	滄
沨	渢
沩	溈
沪	冱 滬
沫	沬
沬	沫
沱	沲
沲	沱
沸	㵒
況	况
泄	洩 渫
泉	洤
泛	汎
泝	遡
泞	濘
泡	箔
泥	坭
注	註 注
泪	淚
泶	澩
泷	瀧
泸	瀘
泺	濼
泻	瀉
泼	潑
泽	澤
泾	涇
洁	潔
洒	灑
洞	峒
洤	泉
洩	泄 渫
洶	汹
洼	窪
洿	汚 汙
浃	浹
浅	淺
浆	漿
浇	澆
浈	湞
浉	溮
浊	濁
测	測
浍	澮
济	濟
浏	瀏
浐	滻
浑	渾
浒	滸
浓	濃
浔	潯
浕	濜
浚	濬
浣	澣
浹	浃
浼	凂 潣
浿	𬇙
涂	塗
涅	湼
涇	泾
涌	湧
涎	㳄
涕	䶏
涖	蒞 莅
涗	涚
涚	涗
涛	濤
涝	澇
涞	淶
涟	漣
涠	潿
涡	渦
涢	溳
涣	渙
涤	滌
润	潤
涧	澗
涨	漲
涩	澀
涶	唾
涷	𰛒
涼	凉
淀	澱
淆	殽
淒	凄
淚	泪
淜	漰
淡	澹
淥	渌
淨	凈
淪	沦
淫	婬
淳	湻
淵	渊
淶	涞
淹	渰
淺	浅
渊	淵
渌	淥
渍	漬
渎	瀆
渐	漸
渑	澠
渔	漁
渖	瀋
渗	滲
渙	涣
渚	陼
減	减
渢	沨
渦	涡
渨	偎 隈
温	溫
渫	𠗨 洩 泄
測	测 𠗧
渰	淹
渹	訇 𢕐
渾	浑
湆	𠗥
湊	凑
湋	𣲗
湌	飡
湏	須
湑	醑
湞	浈
湧	涌
湮	凐
湯	汤
湳	㓓
湶	𠗯
湻	淳
湼	涅
湾	灣
湿	濕
溁	濚
溃	潰
溅	濺
溆	漵
溇	漊
溈	沩 潙
溉	摡
溏	𠗶
溓	𠗳
準	准
溝	沟
溡	𪶄
溤	𰛊 馮
溧	凓
溫	温
溮	浉
溯	遡 㴑
溰	凒 𰛥
溳	涢
溺	尿 氼
溻	褟
溼	濕
溽	縟
滂	𠗵
滄	沧 凔
滅	烕 㓕 灭
滌	涤
滎	荥
滗	潷
滙	匯
滚	滾
滞	滯
滟	灧
滠	灄
满	滿
滢	瀅
滤	濾
滥	濫
滦	灤
滨	濱
滩	灘
滪	澦
滬	沪
滭	𰛡 㓖
滯	滞
滲	𠗿 渗
滷	𰛮
滸	浒
滺	悠
滻	浐
滾	菌 滚
滿	满
漁	渔 䱷
漆	㯃 桼
漇	𢳜
漊	溇
漍	𬇹
漎	𰛏 潨
漐	𰛣
漓	灕
漙	𬇘
漚	沤
漢	汉
漣	涟
漤	灠
