㐁	𠀬
锎	鐦
锑	銻
锓	鋟
锕	錒
锗	鍺
锘	鍩
锝	鍀
锞	錁
锟	錕
锠	錩
锢	錮
锥	錐
锧	鑕
锩	錈
锪	鍃
锬	錟
锭	錠
锰	錳
锳	鍈
锴	鍇
锶	鍶
锺	𦉂
镀	鍍
镁	鎂
镃	鎡
镄	鐨
镅	鎇
镆	鏌
镈	鎛
镉	鎘
镋	钂
镍	鎳
镐	鎬
镑	鎊
镓	鎵
镔	鑌
镕	鎔
镙	鏍
镚	鏰
镟	鏇
镥	鑥
镨	鐠
镪	鏹
镭	鐳
镯	鐲
镱	鐿
镸	⻒
镹	𮩶
镺	𨱩
镻	𨱷
镽	𩯊
閃	闪
閄	𬮘
閆	闫
閈	闬
閌	闶
閍	𨸂
閏	闰
閐	𨸃
閑	闲
閔	闵
閕	𰿩
閗	𫔯
閘	闸
閟	𮤲
閣	阁
閤	𬮤
閥	阀
閧	𬮢
閨	闺
閩	闽
閬	阆
閯	𬮪
閶	阊
閹	阉
閼	阏
閽	阍
閾	阈
闄	𬮲
闅	閺
闇	𬮴
闈	闱
闊	阔
闋	阕
闍	阇
闐	阗
闑	𫔶
闒	阘
闓	闿
闕	阙
闚	𬮭
闛	𰿺
闡	阐
闤	阛
闥	闼
闫	閆
闬	閈
闳	閎
闶	閌
闺	閨
闼	闥
闾	閭
闿	闓
阀	閥
阏	閼
阒	闃
阓	闠
阝	⻖
阣	𨸛
阤	陁
阮	阮
阰	𨻀
阹	𪪕
阺	𨸞
阻	𰜘
陒	𨹣
陔	垓
陘	陉
陝	陕
陣	阵
陧	𨻄
陪	𨻓
陯	𬤳
陼	陼
隂	𨼲
隇	𨻒
隊	队
隋	𫔽
隌	𬯂
隒	𱀶
隕	陨
際	际
隣	隣
隨	随
隩	墺
隬	𱀾
隯	陦
隱	隐
隲	𱀑
隹	⾫
隺	𡨱
隼	鶽
雂	𨾠
雃	雃
雊	㗕
雋	𮥼
雐	𭼲
雔	㘜
雗	𨿨
雙	双
雛	雏
雡	𱁌
雧	𰍜
雯	𫕦
雰	𩃼
雱	䨦
電	电
霅	𤁳
霏	䬠
霐	䨎
霒	霠
霕	𩃌
霙	𩄪
霜	𩅪
霧	雾
霫	雭
露	露
霼	𪵣
靂	雳
靃	𱁫
靄	霭
靉	叆
靊	霻
靔	靝
靘	䒌
靚	靓
靜	静
靝	靔
靨	靥
靬	𩎒
靲	𩎖
靹	䪏
鞁	𩌟
鞇	𩎪
鞐	𬰬
鞔	𩋭
鞕	𩋸
鞗	𠌙
鞡	𩋷
鞣	𦎤
鞤	𥀂
鞥	𩊕
鞲	𦃪
鞸	𱁴
鞾	𫖇
鞿	𩉜
韃	鞑
韄	䪝
韇	𱁷
韉	鞯
韊	𱁾
韌	韧
韒	𱂉
韓	韩
韖	䂋
韙	韪
韚	𫠅
韜	韬
韰	𩐂
韹	𨉤
韻	𱂐
頂	顶
頃	顷
頄	𬱓
項	项
須	须
頊	顼
頌	颂
頎	颀
頏	颃
頑	顽
頒	颁
頓	顿
頔	𬱖
頕	𬱗
頖	𬱙
頗	颇
頙	𩑠
頜	颌
頟	𱂥
頠	𬱟
頡	颉
頤	颐
頦	颏
頨	𩑧
頭	头
頮	颒
頰	颊
頲	颋
頴	颕
頵	𫖳
頽	颓
顀	𱂭
顁	𬱫
顂	𩓋
顃	𩖖
顅	𫖶
顆	颗
顇	𱂯
顈	𦅐
顉	𰽳
顊	𬱪
顋	𱂲
題	题
額	额
顎	颚
顏	𩠪
顐	𬱢
顒	颙
顓	颛
顔	颜
顖	𱂶
顙	颡
顜	𱂴
顝	𱂵
顠	𱂺
顢	颟
顤	𱂣
顥	颢
顨	𩕧
顪	𱂤
顫	颤
顬	颥
顭	𩕫
顰	颦
顱	颅
顳	颞
顴	颧
顸	頇
顼	頊
顽	頑
颀	頎
颉	頡
颕	頴
颛	顓
颞	顳
颟	顢
颩	𱃔
颪	𭂳
颫	𩖬
颬	𱃕
颱	𱃗
颵	䬘
颶	飓
颷	𩙪
颸	飔
颻	飖
颿	𬳳
飄	飘
飆	飙
飇	𱃠
飈	飚
飊	𮗝
飋	𫗋
飍	𱃝
飏	颺
飠	𩙿
飣	饤
飦	𫗞
飨	饗
飩	饨
飫	饫
飬	𫑩
飭	饬
飮	𫨜
飰	𱃴
飶	𫗣
飷	𬲭
飻	𬲍
飿	饳
餂	𱃺
餃	饺
餄	饸
餅	饼
餉	饷
餋	飬
餌	饵
餎	饹
餏	饻
餑	饽
餒	馁
餓	饿
餖	饾
餛	馄
餜	馃
餟	𬳂
餡	馅
餢	𱃾
餣	𬲼
餤	𱃿
餦	𫗠
餧	𫗪
餫	𫗥
餱	𫗯
餴	𱃼
餵	𫗭
餶	馉
餷	馇
餸	𩠌
餹	𬳍
餺	馎
餼	饩
餾	馏
餿	馊
饁	馌
饅	馒
饇	𱃲
饉	馑
饊	馓
饌	馔
饏	䭛
饜	餍
饞	馋
饟	𫗵
饧	餳
饯	餞
饳	飿
饸	餄
饹	餎
饺	餃
饻	餏
饽	餑
饿	餓
馁	餒
馂	餕
馃	餜
馇	餷
馉	餶
馛	𥣣
馠	𩠻
馦	㽐
馧	馧
馩	𬳟
馮	冯
馱	驮
馳	驰
馴	驯
馹	驲
駁	驳
駃	𫘝
駍	𬳴
駎	𩧨
駑	驽
駒	驹
駔	驵
駕	驾
駘	骀
駛	驶
駞	𫘞
駟	驷
駠	𩢞
駤	𫘠
駦	𱅑
駧	𩧲
駫	𫘡
駬	𱅋
駮	𱅐
駰	骃
駴	𮪢
駵	𩤷
駶	𩧺
駷	𱅔
駸	骎
駺	𬴀
駿	骏
騁	骋
騂	骍
騃	𫘤
騄	𫘧
騅	骓
騆	𩤫
騉	𫘥
騋	𱅕
騌	骔
騍	骒
騏	骐
騔	𩨀
騖	骛
騗	𱅝
騙	骗
騚	𩨊
騝	𩨃
騟	𩨈
騢	𱅞
騤	骙
騥	𱅟
騫	骞
騭	骘
騰	腾
騲	𮪤
騴	𫘫
騵	𫘪
騶	驺
騸	骟
騹	𬴆
騻	𫘭
騼	𫠋
騽	𱅩
騾	骡
驀	蓦
驁	骜
驃	骠
驊	骅
驋	𩧯
驍	骁
驏	骣
驐	𮪥
驕	骄
驘	𩥡
驙	𫘰
驚	惊
驜	𩦭
驝	𬴎
驠	𱅬
驡	𱅅
驤	骧
驥	骥
驯	馴
驷	駟
驻	駐
骉	驫
骑	騎
骒	騍
骓	騅
骕	驌
骞	騫
骬	𩨗
骮	䯆
骶	𩨤
骼	𬴒
骾	𩩹
髁	𡱼
髉	𩪓
髎	𩪚
髏	髅
髐	𱅮
髑	䫳
體	体
髕	髌
髖	髋
髞	𩫦
髠	𨱤
髶	𩮙
髸	𪞋
髼	𩭉
髾	𨲆
鬀	𨲙
鬁	𩯬
鬆	䯳
鬋	𩮣
鬎	𩯽
鬗	𱆆
鬜	𱆁
鬠	𫘽
鬧	闹
鬬	闘
鬭	𬆱
鬮	阄
鬰	𣡇
鬶	鬹
鬸	𦉉
鬹	鬶
鬽	𢑛
鬿	𩲪
魀	𩳻
魆	𪐶
魎	魉
魔	𮭺
魙	𩴕
魛	鱽
魜	𬶁
魠	𱇏
魡	𬶄
魢	鱾
魥	𩽹
魦	𫚌
魨	鲀
魬	𱇖
魴	鲂
魵	𫚍
魶	𱇔
魷	鱿
魺	鲄
魻	𱇟
魼	𱇜
魽	𫠐
鮃	鲆
鮄	𫚒
鮇	𱇛
鮈	𬶋
鮊	鲌
鮋	鲉
鮌	𱇢
鮍	鲏
鮎	鲇
鮏	𱇡
鮐	鲐
鮒	鲋
鮕	𩾀
鮗	鿴
鮘	𬶌
鮚	鲒
鮛	𱇨
鮜	鲘
鮞	鲕
鮟	𩽾
鮠	𬶏
鮣	䲟
鮥	𱇪
鮦	鲖
鮧	𱇧
鮩	𩹁
鮪	鲔
鮫	鲛
鮮	鲜
鮯	𫚗
鮵	𫚛
鮶	鲪
鮷	𬶕
鮹	𱇯
鮺	鲝
鮿	𫚚
鯀	鲧
鯁	鲠
鯂	𩹠
鯅	𱈁
鯇	鲩
鯈	𱇱
鯊	鲨
鯌	𬶔
鯕	鲯
鯖	鲭
鯗	𩺁
鯘	脮
鯚	𱇺
鯛	鲷
鯝	鲴
鯞	𫚡
鯠	𱇭
鯡	鲱
鯢	鲵
鯤	鲲
鯥	𱇶
鯧	鲳
鯩	𱇗
鯪	鲮
鯫	鲰
鯯	䱥
鯰	鲶
鯱	𩾇
鯴	鲺
鯵	鲹
鯶	𩽼
鯽	鲫
鯾	𫚣
鯿	鳊
鰁	鳈
鰃	鳂
鰅	𱈂
鰆	䲠
鰇	𬶧
鰈	鲽
鰉	鳇
鰊	𬶠
鰍	鳅
鰎	𩻥
鰏	鲾
鰑	𫚊
鰓	鳃
鰕	𫚥
鰗	𬶞
鰙	𬵫
鰜	鳒
鰝	𱈋
鰠	鳋
鰣	鲥
鰤	𫚕
鰨	鳎
鰩	鳐
鰪	𩺻
鰫	𫚦
鰯	𱈍
鰱	鲢
鰲	鳌
鰳	鳓
鰵	鳘
鰶	𬶭
鰷	鲦
鰺	鯵
鰻	鳗
鰼	鳛
鰽	𫚧
鰾	鳔
鱁	𱈏
鱂	鳉
鱃	𱈌
鱅	鳙
鱆	𫠒
鱈	鳕
鱉	鳖
鱊	𫚪
鱋	𬶬
鱌	𬶲
鱐	𱇿
鱑	𬶫
鱒	鳟
鱓	𬶛
鱕	𱈕
鱖	鳜
鱘	鲟
鱚	𬶮
鱝	鲼
鱞	𬶵
鱟	鲎
鱠	鲙
鱡	𩽠
鱢	𫚫
鱤	鳡
鱥	𮬝
鱧	鳢
鱩	鰰
鱪	鱰
鱭	鲚
鱮	𫚈
鱯	鳠
鱳	𩺮
鱹	𬶺
鱺	鲡
鱻	𱈜
鱽	魛
鱾	魢
鱿	魷
鲀	魨
鲂	魴
鲆	鮃
鲉	鮋
鲍	鮑
鲎	鱟
鲐	鮐
鲖	𩻡
鲙	鱠
鲚	鱭
鲛	鮫
鲡	鱺
鲪	鮶
鲬	鯒
鲭	鯖
鲮	鯪
鲰	鯫
鲱	鯡
鲴	鯝
鲵	鯢
鲶	鯰
鲺	鯴
鲾	鰏
鳀	鯷
鳁	鰛
鳂	鰃
鳃	鰓
鳈	鰁
鳐	鰩
鳓	鰳
鳕	鱈
鳙	鱅
鳚	𩻍
鳛	鰼
鳜	鱖
鳟	鱒
鳤	䲘
鳨	𩾜
鳪	𨾇
鳮	𠭬
鳲	鸤
鳴	鸣
鳵	𩾨
鳷	𫛛
鳾	䴓
鴀	𫛜
鴁	𮭢
鴉	鸦
鴍	𬸀
鴒	鸰
鴕	鸵
鴖	𪃯
鴗	𫁡
鴘	𱉡
鴙	𱉛
鴜	𪉈
鴞	鸮
鴟	鸱
鴣	鸪
鴦	鸯
鴨	鸭
鴩	𱉚
鴯	鸸
鴲	𪉆
鴴	鸻
鴶	𱉥
鴺	𱉩
鴻	鸿
鴾	𱉲
鴿	鸽
鵂	鸺
鵃	鸼
鵄	𬸈
鵊	𫛥
鵍	𪁤
鵎	𱉻
鵐	鹀
鵒	鹆
鵓	鹁
鵕	𱉾
鵖	𱉝
鵜	鹈
鵝	鹅
鵠	鹄
鵣	𪀜
鵨	𪅰
鵪	鹌
鵮	鹐
鵯	鹎
鵰	𫛲
鵲	鹊
鵶	𱉨
鵷	鹓
鵺	𨿤
鵼	𱊊
鵾	鹍
鶀	𬸒
鶁	𬷦
鶃	𱊄
鶆	𱉵
鶇	鸫
鶈	𨿩
鶉	鹑
鶊	鹒
鶋	𱊌
鶌	𫛵
鶍	𬷢
鶓	鹋
鶔	𱊗
鶕	𬸝
鶖	鹙
鶘	鹕
鶙	𱊕
鶢	𱊒
鶣	𬸜
鶤	𱉱
鶥	鹛
鶦	𫛷
鶧	𪃳
鶬	鸧
鶭	𫛯
鶱	𬸣
鶲	鹟
鶵	𬸅
鶹	鹠
鶺	鹡
鶻	鹘
鶼	鹣
鶾	𪂂
鶿	𮭋
鷀	鹚
鷅	𫛽
鷊	鹝
鷋	𱊠
鷓	鹧
鷔	𪉑
鷖	鹥
鷞	𮭪
鷡	𨿏
鷤	𫛴
鷦	鹪
鷰	𬸧
鷱	𩀹
鷲	鹫
鷴	鹇
鷵	𱊩
鷷	𫜄
鸁	𱊮
鸄	𱊯
鸆	𱊫
鸌	鹱
鸏	鹲
鸐	𱊱
鸔	𱉆
鸖	𬸰
鸙	𱊵
鸚	鹦
鸝	鹂
鸮	鴞
鸴	鷽
鸶	鷥
鸻	鴴
鹔	鷫
鹖	鶡
鹛	鶥
鹟	鶲
鹠	𪅳
鹢	鷁
鹣	鶼
鹥	鷖
鹴	鸘
鹸	𫠗
鹼	鹸
麁	𡘛
麃	𤐅
麆	𪊹
麉	𪊑
麌	𬸿
麐	𪊎
麒	𪊔
麘	𪋒
麡	𬸾
麣	𪋹
麩	麸
麭	𮮆
麱	𱋖
麲	𪎉
麹	𪌲
麺	𪋽
麼	𮮍
黀	𪎪
黃	黄
黇	𪏊
黋	𤾗
黕	𪐨
黗	𪐠
點	点
黡	黶
黨	党
黩	黷
黪	黲
黫	𪑸
黭	𪒈
黲	黪
黵	𪒧
黷	黩
黸	𱋶
鼃	𪓤
鼄	𬹣
鼆	𱌆
鼉	鼍
鼚	𱌊
鼟	𣫤
鼣	𪕟
鼥	𪖆
鼧	𪕅
鼩	𪖏
鼭	𪕵
鼴	𪕤
鼷	𭀹
鼹	鼴
齁	𪖙
齃	齃
齄	㾴
齈	𱌖
齉	儾
齙	龅
齚	𱌬
齞	𱌫
齠	龆
齢	𬹴
齥	𱌱
齪	龊
齱	𱌶
齷	龌
齸	𱌽
齽	𬺔
龁	齕
龂	㹞
龐	庞
龔	龚
龗	𪚙
龘	𮄿
龝	𬓫
龞	𱍈
龥	𬱳
龭	𩨎
龯	𨱆
龲	𰾋
龻	𰁜
龽	𰞳
鿀	𰱃
鿁	䜤
鿃	睒
鿄	𬇲
鿐	䲤
鿓	鿒
鿕	𱆥
鿟	鿠
鿳	鿸
鿸	鿳
𠁏	𠁐
𠁕	𠁏
𠁞	𠀾
𠁹	𠁵
𠂆	𰀪
𠂖	𠂙
𠂣	𡰧
𠃅	𡣧
𠃊	𠃑
𠃨	𤓯
𠄃	𠄄
𠄉	𧳿
𠄍	𠂈
𠄑	𡳾
𠅨	𠅬
𠅬	𥨆
𠅲	𬽑
𠆎	𩎮
𠆒	𦤘
𠆙	𠆓
𠆩	仮
𠆪	𠇃
𠆶	𠇵
𠆻	𫧹
𠇘	𫯢
𠇽	𠇆
𠊔	𢔆
𠋉	𬾘
𠋶	𫣎
𠌎	𬊞
𠌞	𫣋
𠌡	㮸
𠌢	𠈻
𠌥	𠆿
𠍐	𡦈
𠍦	𫢲
𠍴	𠎱
𠍺	𨂮
𠎅	𰂃
𠎒	𫢨
𠎟	𠎂
𠎦	𠍋
𠏮	𫢘
𠏾	𠑞
𠐊	𫝋
𠐍	𫣫
𠐩	𠑑
𠐮	𬾣
𠐽	𫢔
𠐿	𩖎
𠑅	𠐏
𠑇	𰂻
𠑙	𫢹
𠑚	𠑛
𠑲	𫣛
𠒐	𠓈
𠓓	𨮠
𠓖	𠓚
𠓧	𠓢
𠓭	𢞥
𠓲	𣔕
𠓷	𠓵
𠓹	𠓻
𠔎	𠇨
𠔜	𠔜
𠕭	𠕥
𠖷	㓏
𠗉	𠖹
𠗙	𠗴
𠗣	㓆
𠗨	𠗛
𠗿	𰄁
𠘂	凁
𠘆	𠘏
𠘇	𠘒
𠘖	𤁩
𠘞	𤁼
𠘢	𠘇
𠙆	𠙏
𠙦	䒮
𠚊	𠚍
𠚜	𤔱
𠚞	𤔼
𠚨	𠠳
𠚪	𠠴
𠚯	𡯇
𠛋	𫥴
𠛎	𠚸
𠛔	𠚷
𠛪	𠜩
𠜅	𫥿
𠜱	𠞇
𠜵	𡘢
𠝝	𠝚
𠝞	𠜕
𠝬	𠝠
𠝿	𫦁
𠞆	𠛆
𠞖	𠠖
𠞘	𠞻
𠞭	𫦉
𠞿	𠟓
𠟈	𠢪
𠟊	𠟖
𠟍	𠝤
𠟪	𫥺
𠟰	𠠘
𠟽	𠟗
𠠁	䥪
𠠄	𠠄
𠠏	𫥵
𠠜	𫦕
𠠠	𠠔
𠠫	𰄭
𠠯	𫦡
𠠻	𠡀
𠡜	𠡤
𠡡	𠡹
𠡭	𪋾
𠡸	𠡯
𠢍	𠢅
𠢕	𠞪
𠢡	𠢙
𠢤	𠢭
𠢦	𪬈
𠢱	𠢵
𠣞	𠣞
𠣤	𢞛
𠣬	𠣤
𠤒	𠈔
𠤕	𫶬
𠤗	𢁄
𠤦	𠤥
𠤴	𠥁
𠤼	𠥌
𠤾	𠤿
𠥇	𠥵
𠥰	𰅫
𠥴	𭅛
𠦫	𠦣
𠧛	𰁗
𠧪	𠨋
𠧴	𠅓
𠧽	𤈭
𠨎	𠨓
𠨬	𠨬
𠨲	𠩃
𠩘	𫨆
𠩪	𠩆
𠩫	𰆞
𠩬	𰆙
𠩭	𫸇
𠩸	𫷸
𠩼	𫨃
𠪂	𠩲
𠪇	𠩹
𠪚	𭆕
𠪟	𠪒
𠫓	𡿮
𠫞	𠫨
𠬙	𪠡
𠬝	𢻮
𠬬	𠬰
𠭆	𡷮
𠭋	𣤌
𠭘	𬆓
𠭣	𠭣
𠭥	𢿆
𠭰	𠭷
𠮫	𠮬
𠮳	𭆽
𠮽	𭆼
𠯂	𡥄
𠯔	𠰊
𠯦	切
𠯬	𠯙
𠰇	𠰡
𠰑	𪴪
𠰠	𠲬
𠱖	𠳱
𠱘	𠸺
𠱡	𠵡
𠱥	𠾭
𠱧	𠱦
𠲊	𠳰
𠲻	𣻂
𠳎	㕽
𠳬	𰅶
𠴁	𠵑
𠴟	哶
𠴨	𠶽
𠴫	𠱙
𠵇	𫫀
𠵘	𫩖
𠵹	𫩚
𠶲	𠷄
𠶷	訲
𠶹	𰇡
𠷌	𰇘
𠷎	𠃬
𠷏	𫡬
𠷑	㗶
𠹃	𧪪
𠹍	𠺀
𠹛	𫩯
𠹾	𠺥
𠺖	𭈈
𠺪	𠯏
𠺮	𫪅
𠻜	𠱕
𠻠	𠾥
𠻤	𪡣
𠻲	𭊆
𠼕	𡁭
𠼗	𫪚
𠼢	𭌡
𠼤	𫪄
𠼮	𫩳
𠽈	𭈟
𠽪	𠻪
𠽵	𡁄
𠽼	譅
𠿓	㗺
𠿜	㼫
𠿞	𭋢
𠿡	𠼆
𠿾	𫫡
𠿿	𭇀
𡀠	𭈜
𡀿	𫫵
𡁀	𠾗
𡁈	𡅼
𡁍	𡁁
𡁎	𫬁
𡁓	𧭌
𡁚	𭇙
𡁛	𭌽
𡁟	𰈚
𡁯	𭇡
𡂙	𡁂
𡂡	𪢒
𡂪	𡂭
𡂿	𫪘
𡃄	𪡺
𡃈	𰈮
𡃸	𭌦
𡄇	𭌏
𡄑	𭋲
𡄒	𥗚
𡄖	𭈉
𡄣	𠵸
𡅁	𡅓
𡅕	𫬔
𡅖	𮊶
𡅥	𫬟
𡅧	𭉼
𡅯	𪢖
𡆎	𩉊
𡆪	㘟
𡇢	𡈔
𡇵	𡇈
𡈢	𡈷
𡉄	圣
𡉉	𡴊
𡉟	壮
𡉺	𪢿
𡊻	𡎗
𡋪	𰆃
𡋯	𡍧
𡌛	𭎢
𡌿	𫮎
𡍦	𨌗
𡍩	𰊋
𡍪	𡎫
𡍫	𫭮
𡎉	𥀁
𡎢	𡎦
𡎥	𫮋
𡎨	𣦣
𡎷	𰊙
𡎻	𡌚
𡏅	鿾
𡏋	𰊉
𡏝	𡏫
𡐣	𡑉
𡐥	𡒁
𡑍	𫭼
𡑑	𡐀
𡑭	𡋗
𡑯	𰉱
𡑵	𡍙
𡒓	𥃆
𡒶	𡏆
𡓁	𪤄
𡓉	𡓷
𡓍	𡒏
𡓤	𡓤
𡓦	𰊅
𡓸	𣦯
𡓾	𡋀
𡔉	𡔓
𡔕	𡎴
𡖓	𢑝
𡖞	𡖤
𡖻	𡖽
𡖾	𪀩
𡗅	𬩍
𡗆	𰋖
𡗞	𡗳
𡗷	𡘎
𡗼	𡘌
𡘍	𡘟
𡘛	𡘘
𡘩	𠅲
𡙇	𭏮
𡙛	𡙠
𡙧	𤞽
𡙷	𤐁
𡚂	𡙼
𡚇	𡙷
𡚤	𧹈
𡚨	𡚨
𡚮	𡚰
𡚴	妛
𡚻	𫰜
𡛖	𡚲
𡛪	𡛪
𡜍	𡟴
𡝋	𡟘
𡝐	𡝙
𡝵	𫰓
𡞨	𩮆
𡞫	𡞏
𡞵	㛟
𡟑	𡞥
𡟟	𡠴
𡟨	𨻤
𡟫	𫝪
𡟳	𫾺
𡟷	𡠖
𡠋	𡟪
𡠚	𰋾
𡠹	㛿
𡡂	𡠘
𡡤	𡚫
𡡥	𡞮
𡢃	㛠
𡢌	𡡨
𡢘	𰌉
𡢠	𫲄
𡢱	𡣋
𡢿	𭑸
𡣈	㛸
𡣊	𡣔
𡣔	𡣤
𡣨	𡡇
𡤓	𪦲
𡤝	𬷭
𡤠	𫰣
𡤧	𡝬
𡤫	𫱿
𡥉	𠭂
𡥓	𣫮
𡥧	𡦌
𡦙	𡽿
𡦟	𩫫
𡦲	𡦵
𡦵	𬋽
𡧗	𥥟
𡧭	𢈌
𡩄	𫁕
𡩆	𬆊
𡩛	𡪸
𡩤	㝜
𡪁	𰍍
𡪋	𡢑
𡪶	𡬖
𡫚	𥛛
𡫧	𡫔
𡫸	𡬗
𡫺	𡬇
𡫽	𥨲
𡬌	𡬋
𡬏	𡬀
𡬖	𥩒
𡬯	𡬸
𡬳	𭆲
𡭀	𡭈
𡭒	𤔺
𡮉	𡭜
𡮤	𫴼
𡮬	𡮮
𡯄	𠠵
𡯉	𡯅
𡯋	𢆋
𡯑	㝽
𡯥	𧉇
𡯫	𡯬
𡯭	𡯲
𡯳	𡯷
𡯴	𫵑
𡰑	𡰘
𡰒	𡰕
𡰠	𡰟
𡰢	𡰡
𡱁	𥺶
𡱂	𩪔
𡱒	𫵕
𡱷	𡱡
𡲪	𡥸
𡳞	𨶙
𡳸	𭕵
𡴋	𡴋
𡴔	𡴒
𡴘	𪜏
𡴭	𡴯
𡴰	𫝳
𡴵	𫵲
𡵃	屽
𡵜	㞲
𡵬	𡵵
𡶃	𡺬
𡶙	𡶔
𡶪	𥐢
𡷕	𡷱
𡷛	𡵃
𡷤	𡷤
𡷦	𡷦
𡷧	㖗
𡸀	𭖣
𡸎	𭖻
𡸑	𫶁
𡸔	𦋅
𡸗	𪨩
𡸜	𡸽
𡸦	𡵗
𡸨	𡸘
𡹐	𡺾
𡹛	𪨿
𡹵	𡺝
𡺜	𡹳
𡺠	𰎝
𡺡	𡺦
𡺢	𡹨
𡺨	𫵶
𡺭	𡻃
𡺸	𭗈
𡺺	𡾈
𡻀	𡻹
𡻊	𡻘
𡻌	𨑆
𡻑	𡺪
𡻕	𪩈
𡻟	㵹
𡻢	𡻽
𡻪	𡽐
𡻬	𡷿
𡻵	𡻫
𡼁	𡴥
𡼬	𡼒
𡼱	𰎢
𡼾	𰎛
𡼿	𥖚
𡽑	𡸾
𡽗	𡸃
𡽜	𧪙
𡽳	𫶊
𡽴	𡾻
𡽵	𫵹
𡾆	𰎷
𡾟	𡾠
𡾮	𭗴
𡾰	𡼌
𡾱	㟜
𡿄	𭗶
𡿇	𡿏
𡿊	𡷙
𡿝	𥗾
𡿩	𡿪
𡿯	𣅕
𡿼	𰏄
𢀷	𨚡
𢁋	𪩮
𢁕	𢄦
𢁟	𪤷
𢁼	𢅔
𢂁	𢄠
𢃎	𢃤
𢃳	𢑦
𢄋	𦭬
𢄓	𰏓
𢄟	𢂓
𢄦	𩓩
𢄧	𢄲
𢄺	𧝈
𢅏	𢅳
𢅑	繺
𢅡	𫷌
𢅫	𢄣
𢅮	𢅲
𢆃	𢆃
𢆉	𦍍
𢆞	𤩘
𢆣	𠆕
𢆴	𢆳
𢆶	𢆾
𢆷	𢇄
𢇁	𢇃
𢇧	𢇰
𢈓	𭙎
𢈞	𢈬
𢈩	𢉇
𢉨	𢈠
𢉿	𰏲
𢊁	𧳋
𢋇	𠪯
𢋊	𢋘
𢋔	𢇣
𢋛	𢊵
𢋻	𢌃
𢌔	𧯙
𢌦	𢽄
𢌫	𩮆
𢍁	𢍉
𢍰	𪪴
𢍱	𦧂
𢏯	𢏶
𢐊	𢎷
𢐕	𫸰
𢑆	𢎠
𢑇	𢏉
𢑎	𢑍
𢒉	𧴭
𢓆	𢓃
𢓊	𬠿
𢓒	𢓏
𢓙	𢓻
𢓡	𢓚
𢓨	𤝱
𢓯	𠍧
𢓱	𢕝
𢔈	𢔔
𢔥	𧼫
𢔳	𢕉
𢕖	𢖎
𢕚	𫥐
𢕩	𢕇
𢕭	𧯘
𢕺	𢖌
𢕻	𨗧
𢖊	𢓳
𢖥	𦇺
𢖫	𢖰
𢗏	𢗻
𢘀	𭜞
𢘅	𢘕
𢘞	𢣭
𢘿	𰒂
𢙱	㑝
𢙸	𠎹
𢙿	㦗
𢚸	𪫵
𢛃	㤹
𢛈	𪬍
𢛉	𢛊
𢛦	𢜕
𢜗	𢗒
𢜟	𰑂
𢜲	𢝟
𢜳	㥉
𢜵	𢜴
𢜶	𢠡
𢜷	𦓖
𢜸	𢥝
𢜻	𢟊
𢜽	𠋳
𢝁	𢤀
𢝌	𢛡
𢝹	𢞖
𢝽	𢝠
𢞏	𢖸
𢞓	𢚜
𢞗	𭝰
𢟊	𢜼
𢟢	𢥗
𢟧	𢢛
𢟪	𡦎
𢠕	𢡡
𢠠	𢟭
𢠰	𰑅
𢠲	㤱
𢠼	𢙑
𢡄	𢡄
𢡊	𢡊
𢢀	𫺒
𢢜	𭞴
𢢞	𢤙
𢢰	𢤋
𢣊	𦡗
𢣏	㦈
𢣐	𪬚
𢣗	𨣴
𢣙	𢤨
𢣚	𢘝
𢤌	𫻇
𢤐	𢥍
𢤧	𰒖
𢤩	𪫡
𢤰	𢤕
𢤱	𢘙
𢤽	𢣹
𢤾	𢚙
𢤿	𪬯
𢥇	𢤚
𢥘	𢤮
𢥰	𢤉
𢥻	𭟧
𢦔	𰗒
𢦪	𫻦
𢧀	𰐎
𢧖	𢧻
𢧜	㦶
𢧤	𡙮
𢧴	𢦷
𢨨	𢩂
𢩝	𢩗
𢩞	𢨧
𢪇	𢪫
𢪈	𫨳
𢪋	𢪮
𢪍	𢷿
𢪏	𬁧
𢪑	𬆟
𢪒	𫽓
𢪬	𣏺
𢪹	𢫂
𢪼	𢫤
𢫙	𪭩
𢫿	𪡘
𢬌	𢬌
𢬜	挔
𢬟	𢬆
𢬢	𢬚
𢬬	𨛾
𢬶	𢱥
𢭀	𪭻
𢭄	𢪕
𢮎	𫾹
𢮞	𢫺
𢮨	𦝏
𢯩	𫼤
𢯭	𣕂
𢯮	𢶂
𢯱	𠮍
𢯳	乴
𢯷	𪭝
𢯺	䄔
𢯼	𢫱
𢰀	𢺊
𢰄	𫸞
𢰺	𫼨
𢱕	𠳖
𢱖	𪮍
𢱝	𢱞
𢱡	𫼶
𢱫	𰓾
𢲐	𰓝
𢲩	𫼾
𢲫	𫼗
𢲵	𪯓
𢲶	𠁠
𢲸	𫼵
𢲾	𫼫
𢳃	𢷍
𢳈	𢳇
𢳚	𫽐
𢴖	𰓸
𢴦	𫽙
𢴩	𫽳
𢴬	𢲔
𢴶	𢷭
𢵌	𢵩
𢶀	𢶓
𢶍	㩑
𢶏	𢷋
𢶐	𬋵
𢶑	𫽲
𢶕	𢶨
𢶢	𢴞
𢶫	𢫞
𢶯	𰒽
𢶶	𤢛
𢶼	𢶟
𢷃	𫽔
𢷍	𢰽
